,alpha,beta,phi,,,,,,,,,,,,,,
,,1974,1916,,1910.012198,71.54852937,1886.060992,1886.060992,896.3442002,,1913.035938,1.044986452,1901.179688,,1906.071525,58.5711071,1870.867968
,,1975,1941,,1949.112146,65.05881293,1981.560728,1981.560728,1645.172638,,1952.619328,1.040127442,1999.096638,,1944.770303,50.76374806,1964.642632
,,1976,1944,,1958.034192,53.83145957,2014.170958,2014.170958,4923.963415,,1961.394589,1.033000773,2030.972946,,1953.476315,39.03022122,1995.534051
,,1977,1962,,1971.97313,45.85295537,2011.865651,2011.865651,2486.583177,,1974.824425,1.027770035,2026.122127,,1967.462773,31.46733081,1992.506537
,,1978,1998,,2001.965217,42.68078167,2017.826086,2017.826086,393.0736712,,2004.333074,1.025204512,2029.66537,,1997.671215,29.15633099,1998.930104
,,1979,1949,,1968.1292,27.37742186,2044.645999,2044.645999,9148.157085,,1970.170262,1.016754714,2054.85131,,1964.088512,14.70053378,2026.827546
,,1980,1939,,1950.301324,18.3363624,1995.506622,1995.506622,3192.998287,,1951.83598,1.011542583,2003.1799,,1946.717308,7.324183433,1978.789045
,,1981,2032,,2019.327537,28.47433253,1968.637687,1968.637687,4014.782743,,2020.473042,1.016267143,1974.365209,,2016.288475,19.29428545,1954.041492
,,1982,1982,,1995.160374,17.94603335,2047.80187,2047.80187,4329.886079,,1996.268073,1.010617744,2053.340367,,1992.400898,9.395294885,2035.58276
,,1983,1850,,1882.621281,-8.150991824,2013.106407,2013.106407,26603.70011,,1883.492787,0.997195584,2017.463937,,1880.205531,-15.5376654,2001.796192
,,1984,1852,,1856.494058,-11.74623817,1874.47029,1874.47029,504.9139165,,1857.242138,0.994969024,1878.21069,,1854.787769,-16.49689991,1864.667866
,,1985,1858,,1855.349564,-9.625889328,1844.74782,1844.74782,175.6202811,,1855.979679,0.995839269,1847.898397,,1854.328063,-12.20990404,1838.29087
,,1986,1850,,1849.144735,-8.941677268,1845.723675,1845.723675,18.28695872,,1849.651489,0.995989491,1848.257447,,1848.623386,-10.10984258,1842.118159
,,1987,1875,,1868.040612,-3.374166493,1840.203058,1840.203058,1210.827196,,1868.446689,0.998823889,1842.233445,,1867.868106,-3.577342,1838.513543
,,1988,1959,,1940.133289,11.7192023,1864.666445,1864.666445,8898.819592,,1940.449838,1.006766385,1866.249188,,1940.116678,11.82194213,1864.290764
,,1989,1919,,1925.570498,6.462803691,1951.852491,1951.852491,1079.286185,,1925.915934,1.003915114,1953.579668,,1925.394317,5.739453617,1951.93862
,,1990,1954,,1949.60666,9.977475379,1932.033302,1932.033302,482.5358231,,1949.891223,1.005621846,1933.456115,,1949.332857,9.003680971,1931.133771
,,1991,1898,,1910.316827,0.124013656,1959.584136,1959.584136,3792.605778,,1910.570642,1.000464372,1960.853211,,1909.920007,-1.268825979,1958.336538
,,1992,1805,,1826.088168,-16.74652087,1910.440841,1910.440841,11117.77091,,1826.291571,0.9915491,1911.457857,,1825.750994,-17.76583142,1908.651181
,,1993,1776,,1782.668329,-22.08118444,1809.341647,1809.341647,1111.665444,,1782.971553,0.988495238,1810.857764,,1782.687682,-21.66273167,1807.985163
,,1994,1784,,1779.317429,-18.33512764,1760.587145,1760.587145,548.1617784,,1779.691778,0.99042829,1762.458889,,1779.759392,-16.49823403,1761.02495
,,1995,1770,,1768.19646,-16.89229586,1760.982301,1760.982301,81.31888875,,1768.531417,0.991088442,1762.657085,,1768.922143,-14.28639269,1763.261158
,,1996,1712,,1719.860833,-23.18096217,1751.304164,1751.304164,1544.81734,,1720.154209,0.987399863,1752.771047,,1720.760875,-20.12646609,1754.63575
,,1997,1762,,1748.935974,-12.72974148,1696.679871,1696.679871,4266.71929,,1749.296006,0.993308168,1698.480031,,1750.056151,-8.925041841,1700.634409
,,1998,1745,,1743.241247,-11.32273871,1736.206233,1736.206233,77.33034399,,1743.518002,0.993985925,1737.590011,,1744.372235,-7.692761807,1741.131109
,,1999,1763,,1756.783702,-6.349699959,1731.918508,1731.918508,966.0591558,,1757.006471,0.996736011,1733.032355,,1757.861748,-2.952892546,1736.679474
,,2000,1737,,1750.434002,-6.349699959,1750.434002,1750.434002,180.4723992,,1751.27162,0.996736011,1751.27162,,,,
,,2001,1739,,1744.084302,-6.349699959,1744.084302,1750.434002,25.85012324,,1745.555488,0.996736011,1745.555488,,,,
,,2002,1748,,1737.734602,-6.349699959,1737.734602,1750.434002,105.3784025,,1739.858013,0.996736011,1739.858013,,,,
,,2003,1726,,1731.384902,-6.349699959,1731.384902,1750.434002,28.99716663,,1734.179135,0.996736011,1734.179135,,,,
,,2004,1691,,1725.035202,-6.349699959,1725.035202,1750.434002,1158.39496,,1728.518793,0.996736011,1728.518793,,,,
,,2005,1709,,1718.685502,-6.349699959,1718.685502,1750.434002,93.80894534,,1722.876926,0.996736011,1722.876926,,,,
,,2006,1720,,1712.335802,-6.349699959,1712.335802,1750.434002,58.73993325,,1717.253474,0.996736011,1717.253474,,,,
,,2007,1677,,1705.986102,-6.349699959,1705.986102,1750.434002,840.194103,,1711.648376,0.996736011,1711.648376,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,RMS,47.35742719,,,,,,,,
